method,profile_type,T0,run_id,seed,hv,pareto_size,pareto_feas,f1_interest_mean,cog_gap_mean,f3_coherence_mean,feasible_ratio,runtime_sec
SA_MOEAD,child,600,24,66,0.046443,83,83,0.526914,0.006099,0.125594,1.000000,10.438724
SA_MOEAD,child,600,25,67,0.040080,93,93,0.561496,0.021855,0.104884,1.000000,10.158503
SA_MOEAD,child,600,26,68,0.042491,99,99,0.531074,0.016174,0.109162,1.000000,30.646303
SA_MOEAD,child,600,27,69,0.058636,87,87,0.538034,0.009152,0.153340,1.000000,12.235175
SA_MOEAD,child,600,28,70,0.058447,94,94,0.528606,0.011330,0.163414,1.000000,12.339664
SA_MOEAD,child,600,29,71,0.054914,96,96,0.546212,0.036771,0.135260,1.000000,9.491820
SA_MOEAD,child,600,30,72,0.058453,99,99,0.530144,0.010126,0.159033,1.000000,9.942031
SA_MOEAD,scholar,300,1,43,0.034775,98,98,0.714739,0.198724,0.088719,1.000000,3.792763
SA_MOEAD,scholar,300,2,44,0.030539,89,89,0.635935,0.240618,0.080327,1.000000,5.030608
SA_MOEAD,scholar,300,3,45,0.047345,95,95,0.627254,0.196158,0.116184,1.000000,4.012531
SA_MOEAD,scholar,300,4,46,0.036655,87,87,0.729459,0.193649,0.105317,1.000000,4.724113
SA_MOEAD,scholar,300,5,47,0.039416,100,100,0.712501,0.205000,0.126557,1.000000,3.827080
SA_MOEAD,scholar,300,6,48,0.048294,88,88,0.727459,0.181136,0.143670,1.000000,5.273064
SA_MOEAD,scholar,300,7,49,0.039362,89,89,0.765475,0.197865,0.074688,1.000000,4.044141
SA_MOEAD,scholar,300,8,50,0.039113,100,100,0.751041,0.117500,0.136152,1.000000,3.535259
SA_MOEAD,scholar,300,9,51,0.034900,98,98,0.725831,0.184082,0.110184,1.000000,3.985246
SA_MOEAD,scholar,300,10,52,0.035920,99,99,0.691149,0.195328,0.098583,1.000000,3.721088
SA_MOEAD,scholar,300,11,53,0.033850,96,96,0.716042,0.175911,0.084966,1.000000,4.844601
SA_MOEAD,scholar,300,12,54,0.033974,89,89,0.684420,0.176910,0.067121,1.000000,4.393697
SA_MOEAD,scholar,300,13,55,0.037205,85,85,0.739415,0.197500,0.115726,1.000000,5.064474
SA_MOEAD,scholar,300,14,56,0.042073,95,95,0.674064,0.240605,0.119038,1.000000,4.568877
SA_MOEAD,scholar,300,15,57,0.045311,80,80,0.668278,0.189750,0.121675,1.000000,3.978355
SA_MOEAD,scholar,300,16,58,0.051854,87,87,0.685539,0.225661,0.156960,1.000000,3.816467
SA_MOEAD,scholar,300,17,59,0.037594,90,90,0.753603,0.212333,0.087696,1.000000,4.541360
SA_MOEAD,scholar,300,18,60,0.033124,96,96,0.716042,0.226536,0.098316,1.000000,3.501784
SA_MOEAD,scholar,300,19,61,0.037655,78,78,0.721901,0.175962,0.110244,1.000000,3.657680
SA_MOEAD,scholar,300,20,62,0.032592,96,96,0.650847,0.225677,0.065994,1.000000,4.546148
SA_MOEAD,scholar,300,21,63,0.043188,99,99,0.747048,0.141667,0.139988,1.000000,4.244655
SA_MOEAD,scholar,300,22,64,0.034041,90,90,0.780687,0.217806,0.089382,1.000000,3.863715
SA_MOEAD,scholar,300,23,65,0.032139,86,86,0.619662,0.221628,0.087277,1.000000,4.940730
SA_MOEAD,scholar,300,24,66,0.038007,100,100,0.745112,0.159650,0.128212,1.000000,3.514601
SA_MOEAD,scholar,300,25,67,0.046010,99,99,0.803945,0.125530,0.109605,1.000000,3.804776
SA_MOEAD,scholar,300,26,68,0.043620,97,97,0.674633,0.222371,0.116682,1.000000,3.722308
SA_MOEAD,scholar,300,27,69,0.056886,83,83,0.783584,0.151687,0.135098,1.000000,3.608362
SA_MOEAD,scholar,300,28,70,0.031644,93,93,0.684098,0.200591,0.092014,1.000000,3.587165
SA_MOEAD,scholar,300,29,71,0.036591,91,91,0.787963,0.190824,0.080720,1.000000,4.222136
SA_MOEAD,scholar,300,30,72,0.051288,99,99,0.730079,0.158813,0.123825,1.000000,5.424970
SA_MOEAD,scholar,600,1,43,0.036122,99,99,0.815020,0.143261,0.113903,1.000000,4.762914
SA_MOEAD,scholar,600,2,44,0.035912,97,97,0.844987,0.163763,0.092208,1.000000,5.083180
SA_MOEAD,scholar,600,3,45,0.040411,86,86,0.806662,0.133980,0.075405,1.000000,4.975265
SA_MOEAD,scholar,600,4,46,0.034072,77,77,0.850412,0.158511,0.080918,1.000000,4.803660
SA_MOEAD,scholar,600,5,47,0.041449,76,76,0.765034,0.210258,0.116786,1.000000,5.105449
SA_MOEAD,scholar,600,6,48,0.038767,89,89,0.774332,0.157502,0.106668,1.000000,5.002033
SA_MOEAD,scholar,600,7,49,0.030019,98,98,0.792385,0.179723,0.088735,1.000000,4.796491
SA_MOEAD,scholar,600,8,50,0.034562,97,97,0.816146,0.114993,0.108451,1.000000,4.772663
SA_MOEAD,scholar,600,9,51,0.037454,91,91,0.804925,0.119482,0.107645,1.000000,4.775776
SA_MOEAD,scholar,600,10,52,0.031530,91,91,0.778526,0.175008,0.086012,1.000000,4.923745
SA_MOEAD,scholar,600,11,53,0.041015,92,92,0.803316,0.142444,0.108853,1.000000,5.116965
SA_MOEAD,scholar,600,12,54,0.036038,86,86,0.807839,0.147708,0.114516,1.000000,4.737117
SA_MOEAD,scholar,600,13,55,0.040947,80,80,0.756688,0.175250,0.096081,1.000000,5.162640
SA_MOEAD,scholar,600,14,56,0.036510,68,68,0.760418,0.181843,0.102629,1.000000,4.942166
